Microsoft (R) COFF/PE Dumper Version 11.00.50727.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    55635475 time date stamp Mon May 25 12:57:25 2015
        0.00 version
           1 ordinal base
        1994 number of functions
        1986 number of names

    ordinal hint RVA      name

          9    0 00009060 A_SHAFinal
         10    1 00008CD0 A_SHAInit
         11    2 000091A0 A_SHAUpdate
         12    3 00013520 AlpcAdjustCompletionListConcurrencyCount
         13    4 000144D0 AlpcFreeCompletionListMessage
         14    5 000A6F00 AlpcGetCompletionListLastMessageInformation
         15    6 000B6AC0 AlpcGetCompletionListMessageAttributes
         16    7 0000F1E0 AlpcGetHeaderSize
         17    8 00050B90 AlpcGetMessageAttribute
         18    9 00013940 AlpcGetMessageFromCompletionList
         19    A 000A6EE0 AlpcGetOutstandingCompletionListMessageCount
         20    B 0000F1A0 AlpcInitializeMessageAttribute
         21    C 000121D0 AlpcMaxAllowedMessageLength
         22    D 00013370 AlpcRegisterCompletionList
         23    E 000137D0 AlpcRegisterCompletionListWorkerThread
         24    F 000A6EA0 AlpcRundownCompletionList
         25   10 000A6EC0 AlpcUnregisterCompletionList
         26   11 00013870 AlpcUnregisterCompletionListWorkerThread
         27   12 00031E20 CsrAllocateCaptureBuffer
         28   13 0004AE80 CsrAllocateMessagePointer
         29   14 000432D0 CsrCaptureMessageBuffer
         30   15 00035AF0 CsrCaptureMessageMultiUnicodeStringsInPlace
         31   16 00035BF0 CsrCaptureMessageString
         32   17 000A8CB0 CsrCaptureTimeout
         33   18 00050D30 CsrClientCallServer
         34   19 0003C080 CsrClientConnectToServer
         35   1A 00035AD0 CsrFreeCaptureBuffer
         36   1B 000A8CD0 CsrGetProcessId
         37   1C 000435B0 CsrIdentifyAlertableThread
         38   1D 000A86C0 CsrSetPriorityClass
         39   1E 000B3530 CsrVerifyRegion
         40   1F 0004CE30 DbgBreakPoint
         41   20 00015330 DbgPrint
         42   21 00045D50 DbgPrintEx
         43   22 000CC6D0 DbgPrintReturnControlC
         44   23 000A6DB0 DbgPrompt
         45   24 000A6DA0 DbgQueryDebugFilterState
         46   25 000A6D90 DbgSetDebugFilterState
         47   26 000B34C0 DbgUiConnectToDbg
         48   27 000B3420 DbgUiContinue
         49   28 000B31F0 DbgUiConvertStateChangeStructure
         50   29 000C2860 DbgUiDebugActiveProcess
         51   2A 000B34A0 DbgUiGetThreadDebugObject
         52   2B 000C27F0 DbgUiIssueRemoteBreakin
         53   2C 000F3CE0 DbgUiRemoteBreakin
         54   2D 000B3480 DbgUiSetThreadDebugObject
         55   2E 000B3400 DbgUiStopDebugging
         56   2F 000B3450 DbgUiWaitStateChange
         57   30 0004CE40 DbgUserBreakPoint
         58   31 000CE680 EtwCreateTraceInstanceId
         59   32 000F6230 EtwDeliverDataBlock
         60   33 000C0050 EtwEnumerateProcessRegGuids
         61   34 000087E0 EtwEventActivityIdControl
         62   35 0002B510 EtwEventEnabled
         63   36 00005F50 EtwEventProviderEnabled
         64   37 00039CB0 EtwEventRegister
         65   38 00087C58 EtwEventSetInformation
